Car_id,Date,Customer Name,Gender,Annual Income,Dealer_Name,Company,Model,Price ($),Engine_Cylinder,Engine_Horsepower,City MPG,Highway MPG,Popularity,Market_Category,Gas_Types,Engine,Transmission,Color,Dealer_No,Body Style,Phone,Dealer_Region
C_CND_017323,9/1/2023,Benoit,Male,1585000,Diehl Motor CO Inc,Oldsmobile,Bravada,36501,4,150,20,30,26,N/A,regular unleaded,Overhead Camshaft,Manual,Black,06457-3834,Hatchback,7471041,Middletown
C_CND_017324,9/1/2023,Mathieu,Male,13500,Enterprise Rent A Car,Acura,RL,17001,6,225,17,27,204,Luxury,premium unleaded (required),Overhead Camshaft,Manual,Pale White,60504-7114,SUV,8138431,Aurora
C_CND_017325,9/1/2023,Mathilde,Female,542000,Gartner Buick Hyundai Saab,Plymouth,Voyager,75001,4,100,22,29,535,N/A,regular unleaded,Overhead Camshaft,Manual,Black,38701-8047,Passenger,7698855,Greenville
C_CND_017326,9/1/2023,Audrey,Female,571000,Hatfield Volkswagen,Audi,A6,24001,6,172,16,22,3105,Luxury,regular unleaded,Overhead Camshaft,Manual,Pale White,99301-3882,SUV,6316779,Pasco
C_CND_017327,9/1/2023,Emma,Female,13500,Iceberg Rentals,Toyota,Sienna,27001,6,270,17,23,2031,N/A,regular unleaded,Overhead Camshaft,Manual,Black,53546-9427,Passenger,6928560,Janesville
C_CND_017328,9/1/2023,Rose,Male,1960000,McKinney Dodge Chrysler Jeep,Mercedes-B,S-Class,21001,4,130,18,26,617,Luxury,regular unleaded,Overhead Camshaft,Manual,Pale White,85257-3102,SUV,8007807,Scottsdale
C_CND_017329,9/1/2023,Baptiste,Male,1300000,Motor Vehicle Branch Office,Ford,Explorer,18001,6,135,16,22,5657,N/A,regular unleaded,DoubleÂ Overhead Camshaft,Auto,Pale White,78758-7841,Hatchback,7894365,Austin
C_CND_017330,9/1/2023,Sigrid,Female,418000,Nebo Chevrolet,Saturn,LS,45001,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,DoubleÂ Overhead Camshaft,Auto,Pale White,06457-3834,Sedan,8261288,Middletown
C_CND_017331,9/1/2023,Margaret,Male,1540000,Saab-Belle Dodge,Buick,Park Avenue,62000,4,200,20,27,155,N/A,premium unleaded (recommended),DoubleÂ Overhead Camshaft,Auto,Pale White,60504-7114,Hatchback,7831898,Aurora
C_CND_017332,9/1/2023,Margaux,Male,13500,Scrivener Performance Engineering,Chevrolet,Metro,19000,6,190,15,21,1385,N/A,regular unleaded,DoubleÂ Overhead Camshaft,Auto,Pale White,38701-8047,Passenger,6699597,Greenville
C_CND_017333,9/1/2023,Margot,Male,13500,Star Enterprises Inc,Chevrolet,Lumina,26000,6,190,15,21,1385,N/A,regular unleaded,Overhead Camshaft,Manual,Pale White,99301-3882,Passenger,8290479,Pasco
C_CND_017334,9/1/2023,Maria,Male,1370000,Suburban Ford,Saab,3-Sep,18001,4,227,17,24,376,"Luxury,Performance",premium unleaded (required),DoubleÂ Overhead Camshaft,Auto,Black,53546-9427,Sedan,8654643,Janesville
C_CND_017335,9/1/2023,Annika,Male,640000,Rabun Used Car Sales,Mitsubishi,Montero Sport,29001,6,218,17,23,436,"Hatchback,Performance",regular unleaded,Overhead Camshaft,Manual,Pale White,85257-3102,SUV,8368323,Janesville
C_CND_017336,9/1/2023,Mary,Male,13500,U-Haul CO,Nissan,Frontier,12001,4,115,26,36,2009,N/A,regular unleaded,Overhead Camshaft,Manual,Pale White,78758-7841,Hatchback,8851066,Austin
C_CND_017337,9/1/2023,Maryam,Male,13500,Buddy Storbeck's Diesel Service Inc,Chevrolet,Lumina,10001,6,190,15,21,1385,N/A,regular unleaded,Overhead Camshaft,Manual,Black,06457-3834,Passenger,8966496,Middletown
C_CND_017338,9/1/2023,Matilda,Male,13500,C & M Motors Inc,Oldsmobile,Silhouette,34001,4,150,20,30,26,N/A,regular unleaded,Overhead Camshaft,Manual,Pale White,60504-7114,Sedan,7977392,Aurora
C_CND_017339,9/1/2023,Maya,Male,372000,Capitol KIA,Dodge,Stratus,31001,6,283,19,29,1851,"Flex Fuel,Performance",flex-fuel (unleaded/E85),DoubleÂ Overhead Camshaft,Auto,Pale White,38701-8047,Hatchback,8104213,Greenville
C_CND_017340,9/1/2023,Aria,Male,736000,Ryder Truck Rental and Leasing,Ford,Focus,24001,6,135,16,22,5657,N/A,regular unleaded,Overhead Camshaft,Manual,Pale White,06457-3834,SUV,6554405,Austin
C_CND_017341,9/1/2023,Melanie,Male,412500,Chrysler Plymouth,Hyundai,Sonata,15501,4,138,27,37,1439,Hatchback,regular unleaded,Overhead Camshaft,Manual,Black,53546-9427,SUV,8797020,Janesville
C_CND_017342,9/1/2023,Mia,Male,452000,Classic Chevy,Dodge,Ram Van,31001,6,283,19,29,1851,"Flex Fuel,Performance",flex-fuel (unleaded/E85),DoubleÂ Overhead Camshaft,Auto,Pale White,85257-3102,Hatchback,6695846,Scottsdale
C_CND_017343,9/1/2023,Michal,Male,450000,Clay Johnson Auto Sales,Volvo,S40,17000,4,114,19,26,870,Luxury,regular unleaded,Overhead Camshaft,Manual,Pale White,78758-7841,Sedan,6369104,Austin
C_CND_017344,9/1/2023,Michelle,Male,13500,Diehl Motor CO Inc,Ford,Explorer,22000,6,135,16,22,5657,N/A,regular unleaded,DoubleÂ Overhead Camshaft,Auto,Black,06457-3834,Hatchback,6447482,Middletown
C_CND_017345,9/1/2023,Mikayla,Male,13500,Enterprise Rent A Car,Acura,TL,14000,6,225,17,27,204,Luxury,premium unleaded (required),Overhead Camshaft,Manual,Pale White,60504-7114,Hatchback,7006465,Aurora
C_CND_017346,9/1/2023,Mila,Male,13500,Gartner Buick Hyundai Saab,Mercury,Grand Marquis,19000,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,DoubleÂ Overhead Camshaft,Auto,Black,38701-8047,SUV,7173273,Greenville
C_CND_017347,9/1/2023,Milana,Male,300000,Hatfield Volkswagen,Chevrolet,Corvette,22001,6,190,15,21,1385,N/A,regular unleaded,Overhead Camshaft,Manual,Pale White,99301-3882,SUV,6911851,Pasco
C_CND_017348,9/1/2023,Mina,Male,520000,Iceberg Rentals,Toyota,Celica,45001,6,270,17,23,2031,N/A,regular unleaded,DoubleÂ Overhead Camshaft,Auto,Pale White,53546-9427,SUV,8545637,Janesville
C_CND_017349,9/1/2023,Mindy,Male,13500,McKinney Dodge Chrysler Jeep,Dodge,Ram Van,19000,6,283,19,29,1851,"Flex Fuel,Performance",flex-fuel (unleaded/E85),DoubleÂ Overhead Camshaft,Auto,Pale White,85257-3102,Hatchback,8522599,Scottsdale
C_CND_017350,9/1/2023,Mira,Male,650000,Motor Vehicle Branch Office,Honda,CR-V,12000,6,271,17,25,2202,"Crossover,Hatchback",regular unleaded,DoubleÂ Overhead Camshaft,Auto,Pale White,78758-7841,SUV,6093253,Austin
C_CND_017351,9/1/2023,Chaya,Male,720000,New Castle Ford Lincoln Mercury,Mercury,Mountaineer,21000,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,DoubleÂ Overhead Camshaft,Auto,Pale White,60504-7114,SUV,7786555,Aurora
C_CND_017352,9/1/2023,Piper,Female,570000,Buddy Storbeck's Diesel Service Inc,Nissan,Altima,21000,4,115,26,36,2009,N/A,regular unleaded,DoubleÂ Overhead Camshaft,Auto,Pale White,06457-3834,Hatchback,8665212,Middletown
C_CND_017353,9/1/2023,Poppy,Male,885000,C & M Motors Inc,BMW,323i,9000,6,300,19,28,3916,"Hatchback,Luxury",premium unleaded (required),DoubleÂ Overhead Camshaft,Auto,Black,60504-7114,Hatchback,6803387,Aurora
C_CND_017354,9/1/2023,Jasmine,Female,370000,Diehl Motor CO Inc,Cadillac,Seville,22000,8,200,14,20,1624,"Luxury,Performance",regular unleaded,Overhead Camshaft,Manual,Pale White,06457-3834,SUV,6320006,Middletown
C_CND_017355,9/1/2023,Rachel,Male,13500,Chrysler of Tri-Cities,Cadillac,Escalade,26000,8,200,14,20,1624,"Luxury,Performance",regular unleaded,DoubleÂ Overhead Camshaft,Auto,Black,99301-3882,Sedan,7979278,Pasco
C_CND_017356,9/1/2023,Raizel,Male,690000,Chrysler Plymouth,Audi,A6,14000,6,172,16,22,3105,Luxury,regular unleaded,DoubleÂ Overhead Camshaft,Auto,Black,53546-9427,SUV,7644134,Janesville
C_CND_017357,9/1/2023,Raizy,Male,822000,Classic Chevy,BMW,528i,21000,6,300,19,28,3916,"Hatchback,Luxury",premium unleaded (required),Overhead Camshaft,Manual,Black,85257-3102,SUV,6488242,Scottsdale
C_CND_017358,9/1/2023,Jayda,Female,592000,Enterprise Rent A Car,Porsche,Carrera Coupe,22000,4,300,21,28,1715,"Luxury,High-Performance",premium unleaded (required),DoubleÂ Overhead Camshaft,Auto,Pale White,60504-7114,SUV,6838693,Aurora
C_CND_017359,9/1/2023,Reese,Male,710000,Diehl Motor CO Inc,Ford,Explorer,41000,6,135,16,22,5657,N/A,regular unleaded,DoubleÂ Overhead Camshaft,Auto,Pale White,06457-3834,Hatchback,6458677,Middletown
C_CND_017360,9/1/2023,Reizy,Female,512500,Enterprise Rent A Car,Cadillac,DeVille,22500,8,200,14,20,1624,"Luxury,Performance",regular unleaded,DoubleÂ Overhead Camshaft,Auto,Pale White,60504-7114,SUV,6317257,Aurora
C_CND_017361,9/1/2023,Jayla,Male,800000,Gartner Buick Hyundai Saab,Mitsubishi,Montero Sport,29000,6,218,17,23,436,"Hatchback,Performance",regular unleaded,Overhead Camshaft,Manual,Pale White,38701-8047,SUV,7641846,Greenville
C_CND_017362,9/1/2023,Rifky,Male,730000,Hatfield Volkswagen,Lexus,LS400,69000,4,134,43,40,454,"Hatchback,Luxury,Hybrid",regular unleaded,Overhead Camshaft,Manual,Black,99301-3882,Sedan,6873858,Pasco
C_CND_017363,9/1/2023,Riley,Male,901000,Iceberg Rentals,Oldsmobile,Silhouette,60000,4,150,20,30,26,N/A,regular unleaded,DoubleÂ Overhead Camshaft,Auto,Black,53546-9427,Sedan,6588592,Janesville
C_CND_017364,9/1/2023,Rivka,Female,541000,McKinney Dodge Chrysler Jeep,Ford,Escort,11000,6,135,16,22,5657,N/A,regular unleaded,Overhead Camshaft,Manual,Black,85257-3102,Passenger,7009713,Scottsdale
C_CND_017365,9/1/2023,Rivky,Female,810000,Motor Vehicle Branch Office,Mercury,Sable,39000,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,DoubleÂ Overhead Camshaft,Auto,Pale White,78758-7841,Sedan,7958303,Austin
C_CND_017366,9/1/2023,Rochel,Female,650000,Nebo Chevrolet,Ford,Explorer,42000,6,135,16,22,5657,N/A,regular unleaded,DoubleÂ Overhead Camshaft,Auto,Pale White,06457-3834,Hatchback,7047821,Middletown
C_CND_017367,9/1/2023,Roizy,Female,580000,New Castle Ford Lincoln Mercury,Cadillac,Escalade,38000,8,200,14,20,1624,"Luxury,Performance",regular unleaded,DoubleÂ Overhead Camshaft,Auto,Pale White,60504-7114,Sedan,8502443,Aurora
C_CND_017368,9/1/2023,Rosa,Male,643000,Pars Auto Sales,Cadillac,Eldorado,85000,8,200,14,20,1624,"Luxury,Performance",regular unleaded,Overhead Camshaft,Manual,Black,38701-8047,Passenger,8837077,Greenville
C_CND_017369,9/1/2023,Rose,Male,645000,Pitre Buick-Pontiac-Gmc of Scottsdale,Dodge,Ram Van,60000,6,283,19,29,1851,"Flex Fuel,Performance",flex-fuel (unleaded/E85),DoubleÂ Overhead Camshaft,Auto,Black,99301-3882,Hatchback,8231827,Pasco
C_CND_017370,9/1/2023,Rowan,Male,595000,Progressive Shippers Cooperative Association No,Jaguar,S-Type,16000,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,DoubleÂ Overhead Camshaft,Auto,Black,53546-9427,Passenger,7071762,Janesville
C_CND_017371,9/1/2023,Christian,Male,1115000,Rabun Used Car Sales,Acura,TL,28500,6,225,17,27,204,Luxury,premium unleaded (required),DoubleÂ Overhead Camshaft,Auto,Black,85257-3102,Hatchback,6973609,Scottsdale
C_CND_017372,9/1/2023,Christopher,Male,1675000,Race Car Help,Lexus,GS400,31500,4,134,43,40,454,"Hatchback,Luxury,Hybrid",regular unleaded,DoubleÂ Overhead Camshaft,Auto,Pale White,78758-7841,Hatchback,6465001,Austin
C_CND_017373,9/1/2023,Cody,Male,1176000,Ryder Truck Rental and Leasing,Jeep,Grand Cherokee,21600,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Overhead Camshaft,Manual,Pale White,06457-3834,SUV,6241678,Middletown
C_CND_017374,9/1/2023,Corey,Female,13500,Saab-Belle Dodge,Mercedes-B,CL500,22000,4,130,18,26,617,Luxury,regular unleaded,Overhead Camshaft,Manual,Black,60504-7114,SUV,7922979,Aurora
C_CND_017375,9/1/2023,Daniel,Male,1265000,Scrivener Performance Engineering,Volkswagen,Jetta,38500,4,170,24,32,873,N/A,regular unleaded,DoubleÂ Overhead Camshaft,Auto,Pale White,38701-8047,Passenger,6871644,Greenville
C_CND_017376,9/1/2023,Darius,Male,801000,Star Enterprises Inc,Chrysler,300M,26000,4,184,23,36,1013,Flex Fuel,flex-fuel (unleaded/E85),DoubleÂ Overhead Camshaft,Auto,Black,99301-3882,SUV,8209132,Pasco
C_CND_017377,9/1/2023,Darren,Male,1185000,Suburban Ford,Mercury,Mystique,29501,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,DoubleÂ Overhead Camshaft,Auto,Pale White,53546-9427,Passenger,6377450,Janesville
C_CND_017378,9/1/2023,David,Male,770000,Tri-State Mack Inc,Lexus,GS400,31001,4,134,43,40,454,"Hatchback,Luxury,Hybrid",regular unleaded,DoubleÂ Overhead Camshaft,Auto,Pale White,85257-3102,Hatchback,6361484,Scottsdale
C_CND_017379,9/1/2023,Derrick,Male,1200000,U-Haul CO,Ford,Expedition,26001,6,135,16,22,5657,N/A,regular unleaded,DoubleÂ Overhead Camshaft,Auto,Black,78758-7841,SUV,7173281,Austin
C_CND_017380,9/1/2023,Maryam,Male,1635000,Ryder Truck Rental and Leasing,Plymouth,Breeze,16501,4,100,22,29,535,N/A,regular unleaded,Overhead Camshaft,Manual,Pale White,06457-3834,SUV,7719561,Middletown
C_CND_017381,9/1/2023,Devon,Male,901000,C & M Motors Inc,Saab,3-Sep,23000,4,227,17,24,376,"Luxury,Performance",premium unleaded (required),DoubleÂ Overhead Camshaft,Auto,Black,60504-7114,Sedan,6097840,Aurora
C_CND_017382,9/1/2023,Jana,Male,13500,Scrivener Performance Engineering,Mitsubishi,Montero Sport,42000,6,218,17,23,436,"Hatchback,Performance",regular unleaded,Overhead Camshaft,Manual,Black,38701-8047,SUV,8208279,Greenville
C_CND_017383,9/1/2023,Donovan,Male,13500,Chrysler of Tri-Cities,Saturn,LW,13000,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Overhead Camshaft,Manual,Pale White,99301-3882,Hatchback,7538142,Pasco
C_CND_017384,9/1/2023,Dwayne,Male,891500,Chrysler Plymouth,Dodge,Durango,24500,6,283,19,29,1851,"Flex Fuel,Performance",flex-fuel (unleaded/E85),DoubleÂ Overhead Camshaft,Auto,Black,53546-9427,SUV,8981094,Janesville
C_CND_017385,9/1/2023,Dylan,Male,3420000,Classic Chevy,Mitsubishi,3000GT,24000,6,218,17,23,436,"Hatchback,Performance",regular unleaded,Overhead Camshaft,Manual,Pale White,85257-3102,Sedan,7982150,Scottsdale
C_CND_017386,9/1/2023,Edward,Female,560000,Clay Johnson Auto Sales,Chevrolet,Monte Carlo,21000,6,190,15,21,1385,N/A,regular unleaded,DoubleÂ Overhead Camshaft,Auto,Pale White,78758-7841,Hatchback,8060958,Austin
C_CND_017387,9/1/2023,Eli,Male,805000,Diehl Motor CO Inc,Dodge,Durango,22000,6,283,19,29,1851,"Flex Fuel,Performance",flex-fuel (unleaded/E85),Overhead Camshaft,Manual,Black,06457-3834,SUV,7181953,Middletown
C_CND_017388,9/1/2023,Elias,Male,680000,Enterprise Rent A Car,Lexus,GS400,31000,4,134,43,40,454,"Hatchback,Luxury,Hybrid",regular unleaded,DoubleÂ Overhead Camshaft,Auto,Pale White,60504-7114,Hatchback,8247244,Aurora
C_CND_017389,9/1/2023,Elijah,Male,827500,Gartner Buick Hyundai Saab,BMW,528i,29500,6,300,19,28,3916,"Hatchback,Luxury",premium unleaded (required),Overhead Camshaft,Manual,Pale White,38701-8047,SUV,7332037,Greenville
C_CND_017390,9/1/2023,Emmanuel,Male,793000,Hatfield Volkswagen,Chevrolet,Camaro,41000,6,190,15,21,1385,N/A,regular unleaded,DoubleÂ Overhead Camshaft,Auto,Black,99301-3882,Sedan,6362030,Pasco
C_CND_017391,9/1/2023,Joshua,Male,1330000,Progressive Shippers Cooperative Association No,Mercury,Grand Marquis,16001,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Overhead Camshaft,Manual,Pale White,53546-9427,SUV,7934647,Scottsdale
C_CND_017392,9/1/2023,Kaylee,Male,1400000,Race Car Help,Mitsubishi,Eclipse,12000,6,218,17,23,436,"Hatchback,Performance",regular unleaded,Overhead Camshaft,Manual,Pale White,78758-7841,SUV,7152765,Austin
C_CND_017393,9/1/2023,Jude,Male,1200000,Race Car Help,Lexus,LS400,18001,4,134,43,40,454,"Hatchback,Luxury,Hybrid",regular unleaded,DoubleÂ Overhead Camshaft,Auto,Pale White,78758-7841,Sedan,7366675,Scottsdale
C_CND_017394,9/1/2023,Julian,Female,2340000,Ryder Truck Rental and Leasing,BMW,528i,62001,6,300,19,28,3916,"Hatchback,Luxury",premium unleaded (required),DoubleÂ Overhead Camshaft,Auto,Pale White,06457-3834,SUV,7735847,Austin
C_CND_017395,9/1/2023,Julien,Female,13500,Saab-Belle Dodge,Porsche,Carrera Cabrio,22001,4,300,21,28,1715,"Luxury,High-Performance",premium unleaded (required),Overhead Camshaft,Manual,Black,60504-7114,Passenger,6007270,Middletown
C_CND_017396,9/1/2023,Justin,Female,625000,Scrivener Performance Engineering,Mercedes-B,E-Class,31001,4,130,18,26,617,Luxury,regular unleaded,DoubleÂ Overhead Camshaft,Auto,Pale White,38701-8047,Sedan,8518511,Aurora
C_CND_017397,9/1/2023,Kai,Male,1321000,Star Enterprises Inc,Ford,Expedition,22101,6,135,16,22,5657,N/A,regular unleaded,Overhead Camshaft,Manual,Pale White,99301-3882,SUV,7443397,Greenville
C_CND_017398,9/1/2023,Kevin,Female,920000,Suburban Ford,Mercedes-B,S-Class,10001,4,130,18,26,617,Luxury,regular unleaded,DoubleÂ Overhead Camshaft,Auto,Pale White,53546-9427,SUV,8532886,Pasco
C_CND_017399,9/1/2023,Kieran,Male,1635000,Tri-State Mack Inc,Saturn,SW,25501,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,DoubleÂ Overhead Camshaft,Auto,Pale White,85257-3102,Passenger,7225838,Janesville
C_CND_017400,9/1/2023,Kyle,Male,1194000,U-Haul CO,Chevrolet,Cavalier,20401,6,190,15,21,1385,N/A,regular unleaded,Overhead Camshaft,Manual,Pale White,78758-7841,SUV,8829989,Scottsdale
C_CND_017401,9/1/2023,Landon,Male,1440000,Buddy Storbeck's Diesel Service Inc,Cadillac,Escalade,38001,8,200,14,20,1624,"Luxury,Performance",regular unleaded,DoubleÂ Overhead Camshaft,Auto,Pale White,06457-3834,Sedan,8724704,Austin
C_CND_017402,9/1/2023,Lazer,Female,1300000,C & M Motors Inc,Volkswagen,Passat,20001,4,170,24,32,873,N/A,regular unleaded,Overhead Camshaft,Manual,Pale White,60504-7114,Hatchback,7270980,Middletown
C_CND_017403,9/1/2023,Leo,Male,1300000,Capitol KIA,Acura,RL,24001,6,225,17,27,204,Luxury,premium unleaded (required),DoubleÂ Overhead Camshaft,Auto,Black,38701-8047,SUV,7442278,Aurora
C_CND_017404,9/1/2023,Leon,Female,1620000,Chrysler of Tri-Cities,Pontiac,Bonneville,20001,6,140,17,27,210,N/A,regular unleaded,DoubleÂ Overhead Camshaft,Auto,Pale White,99301-3882,Hatchback,8856728,Greenville
C_CND_017405,9/1/2023,Nachman,Male,13500,Motor Vehicle Branch Office,Honda,Odyssey,27000,6,271,17,25,2202,"Crossover,Hatchback",regular unleaded,Overhead Camshaft,Manual,Pale White,78758-7841,Passenger,8240815,Pasco
C_CND_017406,9/1/2023,Naftali,Female,670000,Nebo Chevrolet,Honda,CR-V,22000,6,271,17,25,2202,"Crossover,Hatchback",regular unleaded,DoubleÂ Overhead Camshaft,Auto,Pale White,06457-3834,SUV,8124601,Janesville
C_CND_017407,9/1/2023,Nathan,Male,260000,New Castle Ford Lincoln Mercury,Chrysler,300M,26000,4,184,23,36,1013,Flex Fuel,flex-fuel (unleaded/E85),DoubleÂ Overhead Camshaft,Auto,Black,60504-7114,SUV,6777344,Scottsdale
C_CND_017408,9/1/2023,Nathaniel,Male,800000,Pars Auto Sales,Dodge,Ram Wagon,22000,6,283,19,29,1851,"Flex Fuel,Performance",flex-fuel (unleaded/E85),DoubleÂ Overhead Camshaft,Auto,Black,38701-8047,Passenger,6550752,Austin
C_CND_017409,9/1/2023,Nicholas,Male,950000,Pitre Buick-Pontiac-Gmc of Scottsdale,Ford,Expedition,10000,6,135,16,22,5657,N/A,regular unleaded,Overhead Camshaft,Manual,Black,99301-3882,SUV,7274632,Middletown
C_CND_017410,9/1/2023,Nico,Male,625000,Progressive Shippers Cooperative Association No,Volkswagen,Passat,12000,4,170,24,32,873,N/A,regular unleaded,Overhead Camshaft,Manual,Pale White,53546-9427,Hatchback,8070561,Aurora
C_CND_017411,9/2/2023,Eve,Male,13500,New Castle Ford Lincoln Mercury,Dodge,Durango,22001,6,283,19,29,1851,"Flex Fuel,Performance",flex-fuel (unleaded/E85),Overhead Camshaft,Manual,Black,60504-7114,SUV,7574023,Aurora
C_CND_017412,9/2/2023,Coline,Female,13500,Pars Auto Sales,Mitsubishi,Diamante,18001,6,218,17,23,436,"Hatchback,Performance",regular unleaded,DoubleÂ Overhead Camshaft,Auto,Black,38701-8047,Hatchback,6334284,Greenville
C_CND_017413,9/2/2023,Romane,Female,592000,Pitre Buick-Pontiac-Gmc of Scottsdale,Dodge,Avenger,22001,6,283,19,29,1851,"Flex Fuel,Performance",flex-fuel (unleaded/E85),DoubleÂ Overhead Camshaft,Auto,Pale White,99301-3882,Passenger,7395121,Pasco
C_CND_017414,9/2/2023,Antonin,Female,13500,Progressive Shippers Cooperative Association No,Cadillac,Escalade,28001,8,200,14,20,1624,"Luxury,Performance",regular unleaded,DoubleÂ Overhead Camshaft,Auto,Black,53546-9427,Sedan,8191276,Janesville
C_CND_017415,9/2/2023,Aurelie,Male,833000,Rabun Used Car Sales,Chrysler,Sebring Coupe,26001,4,184,23,36,1013,Flex Fuel,flex-fuel (unleaded/E85),Overhead Camshaft,Manual,Pale White,85257-3102,Sedan,8377661,Scottsdale
C_CND_017416,9/2/2023,Bastien,Male,1165000,Race Car Help,Cadillac,Catera,28501,8,200,14,20,1624,"Luxury,Performance",regular unleaded,DoubleÂ Overhead Camshaft,Auto,Pale White,78758-7841,Hatchback,7089404,Austin
C_CND_017417,9/2/2023,Dylan,Male,1040000,Ryder Truck Rental and Leasing,BMW,323i,9001,6,300,19,28,3916,"Hatchback,Luxury",premium unleaded (required),DoubleÂ Overhead Camshaft,Auto,Black,06457-3834,Hatchback,6937790,Middletown
C_CND_017418,9/2/2023,Lou-Anne,Male,935000,Saab-Belle Dodge,Volkswagen,Jetta,19001,4,170,24,32,873,N/A,regular unleaded,DoubleÂ Overhead Camshaft,Auto,Pale White,60504-7114,Passenger,7716468,Aurora
C_CND_017419,9/2/2023,Luc,Male,700000,Scrivener Performance Engineering,Dodge,Avenger,22001,6,283,19,29,1851,"Flex Fuel,Performance",flex-fuel (unleaded/E85),DoubleÂ Overhead Camshaft,Auto,Pale White,38701-8047,Passenger,6083193,Greenville
C_CND_017420,9/2/2023,Brielle,Male,811000,Iceberg Rentals,Chevrolet,Prizm,22000,6,190,15,21,1385,N/A,regular unleaded,Overhead Camshaft,Manual,Pale White,53546-9427,SUV,7103883,Janesville
C_CND_017421,9/2/2023,Brooke,Female,13500,McKinney Dodge Chrysler Jeep,Chevrolet,Prizm,24000,6,190,15,21,1385,N/A,regular unleaded,Overhead Camshaft,Manual,Pale White,85257-3102,SUV,6850805,Austin
C_CND_017422,9/2/2023,Antoine,Male,13500,Tri-State Mack Inc,Honda,Civic,43001,6,271,17,25,2202,"Crossover,Hatchback",regular unleaded,Overhead Camshaft,Manual,Black,85257-3102,Hatchback,7186921,Scottsdale
